Event ID,Date,Year,Month,Month Number,Week,Plant,Production Line,Machine ID,Machine Type,Shift,Operator ID,Technician,Downtime Category,Downtime Reason,Planned or Unplanned,Root Cause,Downtime Minutes,Downtime Hours,Repair Cost EURO,Cost per Minute,Production Units Lost,Product Type,Status,Resolution Time,Maintenance Type
DT-100000,2023-01-01,2023,January,1,52,Plant D - Bratislava,Line 1,MC-6667,Press Machine,Night (22:00-06:00),OP-1028,R. Nagy,Material Shortage,Component Stockout,Unplanned,Supplier logistics delay,115.7,1.93,596.05,5.15,107,Industrial Parts,In Progress,0.88,N/A
DT-100001,2023-01-01,2023,January,1,52,Plant B - Lyon,Line 2,MC-5010,Painting Robot,Morning (06:00-14:00),OP-1132,J. Dubois,Tooling Issue,Tool Breakage,Unplanned,Exceeded tool life,150.1,2.5,1679.31,11.19,92,Packaging Materials,In Progress,1.73,Corrective
DT-100002,2023-01-01,2023,January,1,52,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Morning (06:00-14:00),OP-1224,P. Kowalski,Tooling Issue,Mold Damage,Unplanned,Incorrect feed rate,34.9,0.58,242.0,6.93,33,Packaging Materials,Pending,,Corrective
DT-100003,2023-01-01,2023,January,1,52,Plant D - Bratislava,Line 1,MC-4916,Press Machine,Afternoon (14:00-22:00),OP-1117,K. Varga,Utility Failure,Compressed Air Loss,Unplanned,Grid instability,119.6,1.99,1680.08,14.05,96,Packaging Materials,Resolved,3.25,Emergency
DT-100004,2023-01-01,2023,January,1,52,Plant A - Stuttgart,Line 2,MC-2152,Assembly Robot,Morning (06:00-14:00),OP-1117,H. Zajac,Electrical Failure,Wiring Short Circuit,Unplanned,Overheated component,116.6,1.94,1690.82,14.5,96,Consumer Electronics,Resolved,2.68,Corrective
DT-100005,2023-01-01,2023,January,1,52,Plant B - Lyon,Line 1,MC-5990,CNC Machine,Afternoon (14:00-22:00),OP-1137,H. Zajac,Quality Inspection,Calibration Check,Planned,Random audit,42.1,0.7,311.2,7.39,30,Medical Device,Pending,,Preventive
DT-100006,2023-01-01,2023,January,1,52,Plant C - Katowice,Line 1,MC-2751,Press Machine,Night (22:00-06:00),OP-1281,E. Wagner,Material Shortage,Raw Material Delay,Unplanned,Customs delay,69.7,1.16,562.4,8.07,62,Automotive Component,Pending,,N/A
DT-100007,2023-01-01,2023,January,1,52,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Afternoon (14:00-22:00),OP-1322,M. Novak,Quality Inspection,Non-Conformance Review,Planned,Customer complaint follow-up,75.4,1.26,397.2,5.27,62,Consumer Electronics,In Progress,0.7,Preventive
DT-100013,2023-01-02,2023,January,1,1,Plant D - Bratislava,Line 1,MC-4916,Press Machine,Afternoon (14:00-22:00),OP-1394,K. Varga,Mechanical Failure,Gearbox Malfunction,Unplanned,Misalignment,293.3,4.89,3314.06,11.3,223,Packaging Materials,Pending,,Corrective
DT-100012,2023-01-02,2023,January,1,1,Plant D - Bratislava,Line 2,MC-2798,Press Machine,Night (22:00-06:00),OP-1056,J. Dubois,Quality Inspection,Calibration Check,Planned,Dimensional deviation,83.4,1.39,571.73,6.86,73,Medical Device,Resolved,1.63,Preventive
DT-100011,2023-01-02,2023,January,1,1,Plant B - Lyon,Line 1,MC-6684,Injection Molding,Morning (06:00-14:00),OP-1039,L. Fischer,Mechanical Failure,Hydraulic Leak,Unplanned,Lubrication failure,36.3,0.6,245.35,6.76,59,Packaging Materials,Pending,,Corrective
DT-100008,2023-01-02,2023,January,1,1,Plant C - Katowice,Line 3,MC-4933,Painting Robot,Afternoon (14:00-22:00),OP-1259,T. Weber,Tooling Issue,Tool Breakage,Unplanned,Exceeded tool life,40.0,0.67,193.21,4.83,31,Packaging Materials,In Progress,0.39,Corrective
DT-100009,2023-01-02,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Morning (06:00-14:00),OP-1235,J. Dubois,Electrical Failure,Control Panel Fault,Unplanned,Voltage spike,108.7,1.81,576.66,5.31,135,Packaging Materials,In Progress,1.38,Emergency
